host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
100%,97%,f,15.0,39.0,t,Diagonal Mar i el Front MarÃ­tim del Poblenou,41.40805,2.21487,Entire rental unit,Entire home/apt,8,4.0,6.0,$500.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,8,21,47,57,137,13,2,55,21,78,39000.0,4.73,4.87,4.6,4.77,4.88,4.82,4.66,f,10,0.84
100%,100%,t,6.0,13.0,t,la Vila de GrÃ cia,41.39877,2.15887,Entire rental unit,Entire home/apt,4,2.0,2.0,$191.00,4,180,2.0,4.0,1125.0,1125.0,3.5,1125.0,3,7,26,260,321,46,1,41,49,255,48705.0,4.75,4.82,4.79,4.79,4.84,4.91,4.73,t,3,1.91
100%,100%,t,2.0,2.0,t,el Poble Sec,41.3724,2.1648,Entire rental unit,Entire home/apt,2,1.0,1.0,$156.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,0,0,0,27,181,16,3,0,24,96,14976.0,4.9,4.94,4.87,4.94,4.99,4.89,4.81,f,1,1.07
100%,100%,t,1.0,1.0,t,la Vila de GrÃ cia,41.398,2.1553,Entire rental unit,Entire home/apt,4,2.0,3.0,$129.00,2,120,1.0,2.0,1125.0,1125.0,2.0,1125.0,5,12,27,220,374,10,0,38,31,60,7740.0,4.8,4.84,4.76,4.97,4.98,4.92,4.76,f,1,2.42
100%,100%,t,1.0,1.0,t,el Fort Pienc,41.39970016479492,2.1748878955841064,Entire rental unit,Entire home/apt,3,1.0,2.0,$236.00,7,30,3.0,9.0,1125.0,1125.0,6.8,1125.0,0,9,39,219,136,30,2,57,28,255,60180.0,4.73,4.84,4.75,4.82,4.88,4.86,4.49,f,1,1.35
92%,44%,f,20.0,43.0,t,la Barceloneta,41.38113,2.18897,Entire rental unit,Entire home/apt,4,3.0,4.0,$92.00,60,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,0,0,0,184,5,0,0,17,0,0,0.0,4.33,4.0,3.2,4.25,4.4,5.0,4.0,f,19,0.03
99%,94%,t,140.0,142.0,t,Sant MartÃ­ de ProvenÃ§als,41.41626,2.20149,Entire rental unit,Entire home/apt,6,3.0,3.0,$257.00,2,400,2.0,5.0,400.0,400.0,2.2,400.0,17,33,63,86,144,4,0,82,7,24,6168.0,4.54,4.49,4.67,4.87,4.82,4.45,4.39,f,6,0.87
100%,80%,f,47.0,161.0,t,el Raval,41.3817,2.17195,Entire rental unit,Entire home/apt,4,1.0,2.0,$50.00,32,330,32.0,45.0,330.0,330.0,41.2,330.0,0,0,14,289,27,0,0,32,2,0,0.0,4.35,4.15,4.07,4.52,4.63,4.7,4.11,f,47,0.16
100%,90%,f,2.0,3.0,t,Vallcarca i els Penitents,41.413368225097656,2.138876914978028,Private room in rental unit,Private room,1,1.0,1.0,$30.00,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,10,11,37,71,75,3,0,40,3,186,5580.0,4.81,4.81,4.61,4.92,4.87,4.76,4.86,f,2,0.46
90%,93%,t,1.0,2.0,t,la Barceloneta,41.37722,2.18944,Private room in rental unit,Private room,1,1.0,1.0,$60.00,31,40,3.0,31.0,40.0,40.0,29.6,40.0,12,28,58,58,198,31,1,58,16,255,15300.0,4.57,4.43,4.16,4.86,4.87,4.91,4.54,f,1,1.23
100%,100%,f,14.0,14.0,t,la Dreta de l'Eixample,41.39268,2.17214,Entire rental unit,Entire home/apt,6,3.0,3.0,$365.00,2,180,2.0,10.0,1125.0,1125.0,3.6,1125.0,10,39,69,206,103,24,0,87,29,144,52560.0,4.59,4.73,4.72,4.71,4.79,4.87,4.55,t,14,0.63
100%,100%,f,14.0,14.0,t,la Dreta de l'Eixample,41.39184,2.17146,Entire rental unit,Entire home/apt,6,3.0,3.0,$423.00,2,180,2.0,10.0,1125.0,1125.0,3.7,1125.0,8,36,64,194,181,48,2,75,39,255,107865.0,4.7,4.74,4.7,4.48,4.72,4.88,4.57,t,14,1.71
100%,100%,t,1.0,8.0,t,Sant Antoni,41.3778,2.1582,Entire rental unit,Entire home/apt,2,1.0,1.0,$156.00,6,1125,2.0,4.0,1125.0,1125.0,4.0,1125.0,2,2,2,16,202,20,3,2,21,240,37440.0,4.66,4.75,4.75,4.79,4.83,4.79,4.56,f,1,1.24
100%,86%,t,45.0,46.0,t,l'Antiga Esquerra de l'Eixample,41.3895,2.15769,Entire rental unit,Entire home/apt,4,2.0,2.0,$208.00,3,365,2.0,4.0,365.0,365.0,3.2,365.0,2,6,23,58,357,51,2,41,55,255,53040.0,4.73,4.81,4.72,4.8,4.88,4.9,4.65,f,43,2.15
83%,28%,f,426.0,618.0,t,el Poble Sec,41.37314,2.16789,Entire rental unit,Entire home/apt,6,2.0,5.0,$173.00,3,330,2.0,5.0,330.0,330.0,3.1,330.0,24,54,84,359,2,0,0,102,0,0,0.0,3.5,4.0,3.0,5.0,5.0,4.5,3.0,f,413,0.01
98%,98%,t,15.0,34.0,t,la Nova Esquerra de l'Eixample,41.38306672940918,2.1551754500947617,Entire condo,Entire home/apt,6,3.0,4.0,$236.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,23,42,243,161,18,0,43,13,108,25488.0,4.69,4.77,4.84,4.84,4.81,4.81,4.59,t,15,1.01
98%,98%,t,15.0,34.0,t,SarriÃ ,41.39175721131073,2.125056260360505,Entire condo,Entire home/apt,6,3.0,4.0,$266.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,8,20,46,250,105,20,2,53,15,120,31920.0,4.76,4.75,4.76,4.86,4.84,4.7,4.54,t,15,0.65
90%,98%,t,1.0,1.0,t,el Parc i la Llacuna del Poblenou,41.39086,2.18803,Entire rental unit,Entire home/apt,4,1.0,2.0,$156.00,7,120,3.0,8.0,1125.0,1125.0,7.0,1125.0,2,8,28,250,356,30,1,41,26,255,39780.0,4.93,4.93,4.9,4.95,4.96,4.94,4.79,t,1,2.15
83%,28%,f,426.0,618.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38493,2.1809,Entire rental unit,Entire home/apt,6,3.0,4.0,$240.00,32,330,32.0,32.0,330.0,330.0,32.0,330.0,1,1,1,224,11,1,0,1,3,64,15360.0,4.91,4.82,4.73,4.91,4.64,5.0,4.82,f,413,0.07
83%,28%,f,426.0,618.0,t,la Vila OlÃ­mpica del Poblenou,41.39383,2.19813,Entire rental unit,Entire home/apt,5,2.0,5.0,$380.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,30,60,90,365,8,0,0,108,0,0,0.0,4.88,4.67,5.0,5.0,5.0,4.67,4.83,f,413,0.05
100%,96%,t,6.0,11.0,t,la Vila de GrÃ cia,41.40697,2.16106,Entire loft,Entire home/apt,3,1.0,2.0,$202.00,3,150,2.0,4.0,1125.0,1125.0,3.0,1125.0,3,16,46,127,282,14,1,60,28,84,16968.0,4.71,4.79,4.73,4.63,4.75,4.85,4.64,f,4,1.7
90%,76%,t,3.0,3.0,t,el Camp d'en Grassot i GrÃ cia Nova,41.40466,2.17147,Entire home,Entire home/apt,5,2.0,4.0,$140.00,3,90,1.0,4.0,90.0,90.0,3.0,90.0,1,9,38,309,87,18,0,52,33,108,15120.0,4.84,4.71,4.9,4.85,4.9,4.93,4.62,f,3,0.53
100%,100%,f,1.0,3.0,t,el Poble Sec,41.37195,2.16936,Entire rental unit,Entire home/apt,2,1.0,1.0,$111.00,3,365,1.0,3.0,365.0,365.0,3.0,365.0,0,2,5,124,79,6,0,5,5,36,3996.0,4.77,4.9,4.78,4.9,4.9,4.71,4.7,t,1,0.48
100%,98%,t,2.0,2.0,t,la Dreta de l'Eixample,41.39076,2.17503,Entire rental unit,Entire home/apt,3,1.0,3.0,$196.00,5,1125,2.0,5.0,1125.0,1125.0,5.0,1125.0,1,15,45,45,311,33,1,45,47,255,49980.0,4.89,4.92,4.87,4.98,4.99,4.98,4.83,f,2,1.91
100%,93%,t,12.0,24.0,t,la Dreta de l'Eixample,41.39782414629114,2.170576755958843,Entire rental unit,Entire home/apt,5,3.0,4.0,$182.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,7,23,53,328,703,67,5,71,73,255,46410.0,4.79,4.78,4.78,4.88,4.89,4.84,4.7,f,12,4.27
90%,92%,t,3.0,4.0,t,Sant Antoni,41.37793,2.15978,Private room in rental unit,Private room,2,1.0,1.0,$59.00,3,6,3.0,3.0,6.0,6.0,3.0,6.0,7,14,39,298,334,36,2,52,47,216,12744.0,4.65,4.73,4.41,4.88,4.85,4.84,4.72,f,1,2.04
