host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
98%,76%,t,6.0,6.0,t,Diagonal Mar i el Front MarÃ­tim del Poblenou,41.40791189999999,2.2155562,Entire rental unit,Entire home/apt,8,4.0,0.0,$795.00,2,365,1.0,4.0,365.0,365.0,2.0,365.0,3,19,47,307,45,33,2,66,22,198,157410.0,5.0,5.0,5.0,5.0,5.0,4.98,4.93,f,6,2.71
79%,4%,f,2.0,10.0,t,el Barri GÃ²tic,41.380052,2.1752743,Entire rental unit,Entire home/apt,5,1.0,4.0,$138.00,32,150,32.0,32.0,150.0,150.0,32.0,150.0,29,59,89,179,0,0,0,107,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,2,1.6996607294317219
100%,100%,t,1.0,1.0,t,la Sagrera,41.42672,2.18749,Private room in condo,Private room,1,1.0,1.0,$84.00,2,365,1.0,2.0,365.0,365.0,2.0,365.0,13,32,61,70,64,45,0,70,33,255,21420.0,4.94,4.92,4.92,4.94,4.97,4.78,4.81,t,1,3.99
87%,6%,f,293.0,701.0,t,Sant Gervasi - Galvany,41.396878802017696,2.1524633947753857,Entire rental unit,Entire home/apt,6,4.0,5.0,$150.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,29,59,89,269,0,0,0,107,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
60%,65%,f,13.0,16.0,t,el Poble Sec,41.3727615,2.1705437,Entire rental unit,Entire home/apt,3,1.0,0.0,$68.00,60,180,60.0,60.0,180.0,180.0,60.0,180.0,0,4,6,182,0,0,0,20,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,13,1.6996607294317219
100%,81%,t,76.0,116.0,t,la Barceloneta,41.37985728209606,2.1899177313928853,Entire rental unit,Entire home/apt,2,1.0,1.0,$64.00,32,345,32.0,32.0,345.0,345.0,32.0,345.0,13,43,73,74,0,0,0,74,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,74,1.6996607294317219
88%,98%,f,45.0,58.0,t,el Clot,41.4092143,2.1928636,Entire rental unit,Entire home/apt,3,2.0,0.0,$90.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,0,0,0,0,1,0,0,0,1,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,32,0.08
86%,57%,f,541.0,655.0,t,l'Antiga Esquerra de l'Eixample,41.39253059003861,2.1541839408639025,Entire rental unit,Entire home/apt,4,2.0,3.0,$148.00,1,365,32.0,32.0,365.0,365.0,32.0,365.0,0,0,0,258,0,0,0,1,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,73,1.6996607294317219
40%,31%,f,35.0,176.0,t,el Putxet i el FarrÃ³,41.405715,2.149667,Private room in rental unit,Private room,1,5.0,5.0,$16.00,32,90,32.0,32.0,90.0,90.0,32.0,90.0,0,0,0,137,0,0,0,0,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,23,1.6996607294317219
93%,98%,f,17.0,19.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38252849499325,2.1826272747593247,Private room in rental unit,Private room,2,1.0,0.0,$85.00,4,365,4.0,4.0,365.0,365.0,4.0,365.0,5,35,65,245,37,27,1,83,14,216,18360.0,4.54,4.62,4.49,4.76,4.7,4.92,4.62,f,7,2.21
100%,92%,f,118.0,133.0,t,la Dreta de l'Eixample,41.39806718280146,2.1630473627205813,Entire rental unit,Entire home/apt,8,4.0,2.5225657894736844,"$1,000.00",1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,0,0,0,0,0,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,85,1.6996607294317219
100%,100%,f,1.0,1.0,f,el Barri GÃ²tic,41.37836203450936,2.177913390012924,Private room in rental unit,Private room,4,1.0,2.0,$80.00,1,15,1.0,1.0,15.0,15.0,1.0,15.0,12,39,69,338,52,36,2,83,25,216,17280.0,4.54,4.65,4.77,4.75,4.9,4.6,4.5,f,1,3.13
100%,93%,f,2.0,2.0,t,la Sagrada FamÃ­lia,41.40532,2.18067,Private room in rental unit,Private room,1,3.0,3.0,$47.00,3,365,1.0,3.0,365.0,365.0,3.0,365.0,11,34,61,336,52,38,0,79,24,228,10716.0,4.75,4.83,4.54,4.85,4.92,4.92,4.75,f,2,3.16
59%,45%,f,102.0,112.0,t,la Nova Esquerra de l'Eixample,41.38521,2.14701,Entire rental unit,Entire home/apt,5,5.0,5.0,$222.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,28,58,88,363,0,0,0,107,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,57,1.6996607294317219
100%,100%,f,1.0,3.0,t,la Nova Esquerra de l'Eixample,41.37955905640856,2.151670975705676,Entire rental unit,Entire home/apt,5,3.0,3.0,$88.00,31,330,31.0,31.0,330.0,330.0,31.0,330.0,4,9,39,314,5,4,0,58,3,248,21824.0,4.4,4.6,4.0,5.0,4.6,5.0,4.2,f,1,0.37
59%,45%,f,102.0,112.0,t,el Fort Pienc,41.3995774,2.1740448,Entire rental unit,Entire home/apt,6,4.0,4.0,$140.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,162,0,0,0,0,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,57,1.6996607294317219
100%,58%,t,2.0,2.0,t,la Vila de GrÃ cia,41.40141159569944,2.1563795322017976,Private room in rental unit,Private room,1,1.0,1.0,$32.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,28,58,88,178,0,0,0,106,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,1,1.6996607294317219
92%,99%,f,77.0,131.0,t,l'Antiga Esquerra de l'Eixample,41.39432115884146,2.1506613211017864,Entire rental unit,Entire home/apt,4,2.0,3.0,$274.00,1,1125,1.0,5.0,14.0,1125.0,3.1,701.9,13,38,66,337,20,14,0,84,10,84,23016.0,4.6,4.6,4.75,4.35,4.55,4.9,4.2,t,75,1.37
100%,99%,f,2.0,2.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38620346495928,2.180318619507696,Private room in rental unit,Private room,2,1.0,0.0,$68.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,12,42,72,252,65,46,1,90,28,255,17340.0,4.4,4.38,4.35,4.54,4.74,4.72,4.25,t,2,4.12
100%,44%,f,2.0,2.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38582590935533,2.1797163535968225,Private room in rental unit,Private room,1,1.0,1.0,$25.00,32,64,32.0,32.0,64.0,64.0,32.0,64.0,4,14,41,221,3,2,0,59,3,128,3200.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,0.21
100%,100%,t,18.0,19.0,t,el Raval,41.38264696277123,2.171714290614692,Entire rental unit,Entire home/apt,4,2.0,2.0,$78.00,1,365,20.0,32.0,365.0,365.0,31.7,365.0,8,8,11,192,4,4,1,11,0,24,1872.0,4.75,4.75,4.5,5.0,5.0,4.5,4.75,t,11,0.5
76%,71%,f,99.0,298.0,t,la Sagrada FamÃ­lia,41.4028241,2.1763345,Private room in rental unit,Private room,1,1.0,1.0,$48.00,32,360,32.0,32.0,360.0,360.0,32.0,360.0,0,0,27,207,0,0,0,45,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,92,1.6996607294317219
100%,96%,f,9.0,13.0,t,el Barri GÃ²tic,41.38585241236978,2.174296845075681,Private room in rental unit,Private room,2,1.0,1.0,$69.00,4,365,1.0,4.0,365.0,365.0,3.9,365.0,8,8,8,8,16,5,0,8,11,40,2760.0,4.5,4.44,4.38,4.63,4.81,4.94,4.5,f,9,1.11
98%,97%,f,26.0,39.0,t,ProvenÃ§als del Poblenou,41.41006,2.20251,Entire rental unit,Entire home/apt,4,3.0,3.0,$193.00,2,240,2.0,7.0,28.0,1125.0,3.4,797.4,12,38,68,343,13,11,0,86,5,66,12738.0,4.38,4.31,4.38,4.31,4.23,4.62,4.0,f,14,0.83
59%,45%,f,102.0,112.0,t,el Fort Pienc,41.39958,2.17405,Entire rental unit,Entire home/apt,4,3.0,3.0,$138.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,271,0,0,0,14,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,57,1.6996607294317219
76%,71%,f,99.0,298.0,t,la Sagrada FamÃ­lia,41.4028241,2.1763345,Private room in rental unit,Private room,1,1.0,1.0,$34.00,32,360,32.0,32.0,360.0,360.0,32.0,360.0,0,0,26,206,0,0,0,44,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,92,1.6996607294317219
22%,5%,f,175.0,200.0,t,el Clot,41.41406,2.18755,Private room in rental unit,Private room,1,6.0,6.0,$30.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,132,0,0,0,0,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
90%,97%,t,20.0,24.0,t,la Dreta de l'Eixample,41.3894,2.17547,Entire rental unit,Entire home/apt,4,2.0,1.0,$246.00,3,365,2.0,4.0,365.0,365.0,3.6,365.0,3,3,3,261,11,7,2,4,5,42,10332.0,5.0,4.91,5.0,5.0,5.0,4.82,4.82,t,7,0.67
22%,5%,f,175.0,200.0,t,el Clot,41.41459,2.18747,Private room in rental unit,Private room,1,6.0,6.0,$30.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,13,43,224,0,0,0,62,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
22%,5%,f,175.0,200.0,t,el Clot,41.41409519632186,2.189781797458008,Private room in rental unit,Private room,1,6.0,6.0,$26.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,171,0,0,0,9,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
22%,5%,f,175.0,200.0,t,Navas,41.41455,2.18926,Private room in rental unit,Private room,1,6.0,6.0,$26.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,73,0,0,0,0,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
22%,5%,f,175.0,200.0,t,el Clot,41.41413421993823,2.187806462928348,Private room in rental unit,Private room,1,6.0,6.0,$28.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,13,194,0,0,0,32,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
22%,5%,f,175.0,200.0,t,el Clot,41.4125,2.18751,Private room in rental unit,Private room,1,6.0,6.0,$27.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,28,58,88,269,0,0,0,107,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
76%,71%,f,99.0,298.0,t,la Dreta de l'Eixample,41.3943052,2.1658638,Private room in rental unit,Private room,1,1.0,1.0,$31.00,32,360,32.0,32.0,360.0,360.0,32.0,360.0,0,30,60,240,1,1,0,78,1,64,1984.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,f,92,0.09
40%,31%,f,35.0,176.0,t,el Barri GÃ²tic,41.38621,2.17529,Private room in rental unit,Private room,9,9.0,9.0,$16.00,32,90,32.0,32.0,90.0,90.0,32.0,90.0,0,0,0,103,0,0,0,0,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,23,1.6996607294317219
100%,100%,f,2.0,6.0,t,Sant Gervasi - Galvany,41.3933196,2.1388104,Entire rental unit,Entire home/apt,10,4.0,0.0,$373.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,8,33,40,299,31,22,0,48,13,132,49236.0,4.68,4.68,4.61,4.77,4.87,4.94,4.48,f,2,2.03
100%,71%,f,2.0,4.0,t,l'Antiga Esquerra de l'Eixample,41.39345,2.15425,Entire rental unit,Entire home/apt,6,3.0,4.0,$237.00,31,341,31.0,31.0,341.0,341.0,31.0,341.0,15,20,44,273,2,1,0,62,2,62,14694.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,0.15
97%,99%,f,904.0,966.0,t,Sant Gervasi - Galvany,41.39577,2.14467,Entire rental unit,Entire home/apt,5,3.0,3.0,$145.00,32,330,31.0,31.0,1125.0,1125.0,31.0,1125.0,0,0,12,252,0,0,0,30,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,514,1.6996607294317219
97%,99%,f,904.0,966.0,t,Sant Gervasi - Galvany,41.3958796364936,2.147572839962196,Entire rental unit,Entire home/apt,4,2.0,127.0,$127.00,32,330,31.0,31.0,1125.0,1125.0,31.0,1125.0,0,0,0,68,0,0,0,0,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,514,1.6996607294317219
100%,100%,t,12.0,13.0,t,el CongrÃ©s i els Indians,41.421115603829456,2.1805329513894933,Entire rental unit,Entire home/apt,2,1.0,1.0,$148.00,7,365,2.0,7.0,365.0,365.0,7.0,365.0,5,24,54,329,34,27,0,73,15,255,37740.0,4.85,4.97,4.94,4.85,4.85,4.71,4.68,t,11,2.09
100%,58%,t,5.0,7.0,t,el Barri GÃ²tic,41.3798316,2.180562,Entire rental unit,Entire home/apt,4,2.0,0.0,$140.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,99,4,2,0,0,3,124,17360.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,0.27
100%,100%,f,1.0,2.0,t,el Camp de l'Arpa del Clot,41.41301,2.17995,Private room in rental unit,Private room,2,1.0,0.0,$97.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,8,35,65,245,38,27,2,83,17,162,15714.0,4.63,4.74,4.47,4.97,4.87,4.79,4.42,t,1,2.35
100%,81%,t,76.0,116.0,t,la Barceloneta,41.37779,2.18911,Entire rental unit,Entire home/apt,2,1.0,1.0,$68.00,32,330,32.0,32.0,330.0,330.0,32.0,330.0,29,59,89,269,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,74,1.6996607294317219
90%,98%,t,2.0,2.0,t,Sants,41.37805178116665,2.13066314380977,Private room in rental unit,Private room,1,1.0,1.0,$80.00,1,25,1.0,1.0,25.0,25.0,1.0,25.0,0,0,2,14,66,54,0,2,29,255,20400.0,4.86,4.91,4.92,4.94,4.97,4.8,4.71,f,2,4.06
96%,99%,f,23.0,28.0,t,la Dreta de l'Eixample,41.38950902187775,2.163105585856365,Private room in rental unit,Private room,2,1.0,1.0,$65.00,3,365,1.0,3.0,365.0,365.0,3.0,365.0,14,44,74,254,28,24,1,92,10,144,9360.0,4.0,3.96,3.64,4.21,4.39,4.75,3.93,f,24,1.78
100%,100%,t,10.0,15.0,t,el Camp d'en Grassot i GrÃ cia Nova,41.40726924256213,2.164703268811143,Entire rental unit,Entire home/apt,2,0.0,1.0,$60.00,32,364,32.0,32.0,364.0,364.0,32.0,364.0,6,6,6,233,5,4,0,6,2,255,15300.0,4.6,4.8,4.4,4.4,5.0,5.0,4.4,f,5,0.32
83%,28%,f,426.0,618.0,t,Sant Antoni,41.38070512177369,2.1608007516250227,Entire rental unit,Entire home/apt,10,6.0,8.0,$783.00,1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
100%,48%,t,2.0,3.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38716392920339,2.1810071487974096,Entire rental unit,Entire home/apt,6,2.0,3.0,$140.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,0,0,0,269,4,4,0,12,1,255,35700.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,f,2,0.34
100%,48%,t,2.0,3.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38538,2.18081,Entire rental unit,Entire home/apt,4,1.0,2.0,$105.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,4,4,4,273,3,3,0,16,1,192,20160.0,5.0,5.0,5.0,4.67,5.0,4.67,4.67,f,2,0.28
100%,50%,t,3.0,6.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38544556506639,2.180835323974196,Entire rental unit,Entire home/apt,4,2.0,4.0,$115.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,0,0,13,288,0,0,0,31,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,3,1.6996607294317219
100%,50%,t,3.0,6.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38647364459374,2.1793132068705963,Entire rental unit,Entire home/apt,4,2.0,4.0,$110.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,4,4,4,262,5,5,1,5,1,255,28050.0,5.0,4.75,4.75,5.0,5.0,5.0,5.0,f,3,0.56
84%,96%,f,1.0,1.0,t,la Bordeta,41.37063816190842,2.1308333426713943,Private room in rental unit,Private room,2,1.0,1.0,$56.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,15,44,74,255,46,39,5,93,16,234,13104.0,4.5,4.61,4.63,4.67,4.57,4.37,4.26,f,1,2.96
60%,6%,f,7.0,7.0,f,Sant Gervasi - Galvany,41.39698,2.14572,Entire rental unit,Entire home/apt,8,4.0,3.0,$160.00,30,364,30.0,30.0,364.0,364.0,30.0,364.0,13,26,56,236,0,0,0,74,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,7,1.6996607294317219
100%,86%,t,1.0,1.0,f,Navas,41.41395,2.18902,Entire rental unit,Entire home/apt,4,2.0,0.0,$90.00,75,365,75.0,75.0,365.0,365.0,75.0,365.0,14,44,74,349,1,1,0,93,0,150,13500.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0.29
60%,6%,f,7.0,7.0,f,Sant Gervasi - Galvany,41.3976966,2.1449391,Entire rental unit,Entire home/apt,8,4.0,2.0,$160.00,30,364,30.0,30.0,364.0,364.0,30.0,364.0,13,13,13,270,0,0,0,13,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,7,1.6996607294317219
100%,97%,f,3.0,3.0,t,la Sagrada FamÃ­lia,41.40200590000001,2.1715825,Entire rental unit,Entire home/apt,8,3.0,4.0,$201.00,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,4,27,57,312,96,79,4,71,42,255,51255.0,4.7,4.76,4.61,4.89,4.88,4.93,4.65,f,3,6.53
83%,28%,f,426.0,618.0,t,"Sant Pere, Santa Caterina i la Ribera",41.383054420901765,2.181237382361103,Entire rental unit,Entire home/apt,8,6.0,7.0,$500.00,1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
100%,100%,f,84.0,89.0,t,la Vila de GrÃ cia,41.398508,2.1616765,Entire rental unit,Entire home/apt,4,2.0,3.0,$215.00,1,365,2.0,31.0,999.0,999.0,3.1,999.0,9,36,66,340,72,56,2,84,35,255,54825.0,4.96,4.94,4.99,4.86,4.99,4.99,4.86,t,84,4.6
100%,99%,f,25.0,35.0,t,Sant Gervasi - la Bonanova,41.40234827496264,2.1371879612771854,Entire rental unit,Entire home/apt,4,2.0,3.0,$211.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,28,58,88,363,0,0,0,107,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,25,1.6996607294317219
86%,57%,f,541.0,655.0,t,la Dreta de l'Eixample,41.4000283,2.1693168,Entire rental unit,Entire home/apt,4,2.0,3.0,$146.00,1,365,32.0,32.0,365.0,365.0,32.0,365.0,18,48,78,353,0,0,0,96,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,73,1.6996607294317219
99%,63%,f,38.0,116.0,t,el Baix GuinardÃ³,41.41054103615495,2.171872746111854,Entire rental unit,Entire home/apt,2,0.0,1.0,$34.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,0,6,6,0,0,1,255,8670.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,28,0.51
96%,100%,t,9.0,9.0,t,el Clot,41.4100051,2.1924027,Entire rental unit,Entire home/apt,2,1.0,2.0,$160.00,2,365,1.0,2.0,1125.0,1125.0,1.3,1125.0,8,29,59,78,57,52,3,78,24,255,40800.0,4.84,4.98,4.77,4.8,4.7,4.7,4.64,t,9,4.24
96%,100%,t,9.0,9.0,t,el Clot,41.4100051,2.1924027,Entire rental unit,Entire home/apt,2,1.0,1.0,$167.00,2,365,1.0,2.0,1125.0,1125.0,1.3,1125.0,10,38,68,87,33,32,3,87,7,192,32064.0,4.88,4.88,4.91,4.94,4.76,4.7,4.64,t,9,2.49
22%,5%,f,175.0,200.0,t,la Vila de GrÃ cia,41.40681,2.1505,Private room in rental unit,Private room,1,7.0,7.0,$27.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,132,0,0,0,0,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
22%,5%,f,175.0,200.0,t,Can BarÃ³,41.41541141586007,2.163322588607961,Private room in rental unit,Private room,1,1.0,1.0,$26.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,1,1,1,73,0,0,0,1,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
22%,5%,f,175.0,200.0,t,Sant Gervasi - Galvany,41.39414,2.13954,Private room in rental unit,Private room,1,6.0,6.0,$28.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,30,60,240,0,0,0,79,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
22%,5%,f,175.0,200.0,t,Sant Antoni,41.37899,2.15507,Private room in rental unit,Private room,1,1.0,1.0,$24.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,132,0,0,0,0,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
22%,5%,f,175.0,200.0,t,Sant Antoni,41.37913,2.15564,Private room in rental unit,Private room,1,1.0,1.0,$29.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,29,209,0,0,0,47,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,139,1.6996607294317219
100%,93%,t,4.0,18.0,t,Sant Antoni,41.3824507038149,2.1601660341306803,Private room in rental unit,Private room,1,1.0,1.0,$28.00,90,365,90.0,90.0,365.0,365.0,90.0,365.0,0,0,0,179,6,6,1,0,1,255,7140.0,5.0,4.83,4.67,5.0,5.0,5.0,4.67,f,4,0.63
100%,93%,t,4.0,18.0,t,Sant Antoni,41.38464146990868,2.162234332671628,Private room in rental unit,Private room,1,1.0,2.0,$29.00,90,365,90.0,90.0,365.0,365.0,90.0,365.0,14,44,74,273,3,2,1,92,1,255,7395.0,5.0,5.0,4.33,5.0,5.0,5.0,5.0,f,4,0.24
100%,93%,t,4.0,18.0,t,Sant Antoni,41.38451,2.16221,Private room in rental unit,Private room,1,1.0,1.0,$29.00,90,365,90.0,90.0,365.0,365.0,90.0,365.0,9,39,69,268,5,4,0,87,1,255,7395.0,4.8,4.8,4.2,5.0,5.0,5.0,4.8,f,4,0.35
86%,57%,f,541.0,655.0,t,Sant Gervasi - Galvany,41.39609708765644,2.148978466273486,Entire rental unit,Entire home/apt,3,2.0,2.0,$122.00,1,365,32.0,32.0,365.0,365.0,32.0,365.0,0,14,44,319,2,1,0,62,1,6,732.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,73,0.13
53%,36%,f,4.0,4.0,t,el TurÃ³ de la Peira,41.4319719,2.1697234,Entire rental unit,Entire home/apt,5,1.0,4.0,$48.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,256,3,2,0,0,3,124,5952.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,4,0.2
100%,81%,t,76.0,116.0,t,la Barceloneta,41.37887609227396,2.1916678831582344,Entire rental unit,Entire home/apt,2,1.0,1.0,$98.00,32,330,32.0,32.0,330.0,330.0,32.0,330.0,0,0,15,195,0,0,0,34,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,74,1.6996607294317219
100%,100%,f,1.0,1.0,f,la Vila de GrÃ cia,41.407198078648605,2.1608024458242694,Entire rental unit,Entire home/apt,4,1.0,2.0,$99.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,10,24,24,66,29,24,2,24,15,144,14256.0,4.17,4.17,4.14,4.62,4.48,4.62,3.9,t,1,1.86
96%,100%,t,9.0,9.0,t,el Clot,41.4100051,2.1924027,Entire rental unit,Entire home/apt,2,1.0,1.0,$167.00,2,365,1.0,2.0,1125.0,1125.0,1.3,1125.0,10,33,61,80,26,25,1,80,7,150,25050.0,4.77,4.85,4.88,4.96,4.81,4.42,4.58,t,9,2.09
